scriptures,numbers
"Alma 26, Alma 29, John 13",166
"Bible, Genesis 11, Genesis, Genesis 12, Genesis 24, Genesis 28, Genesis 29, Genesis 31, Genesis 22, Deuteronomy, Joshua 24, Neh. 9, Hebrews, Abraham 1, Abr. 1",167
"No scriptures",168
"No scriptures",169
"Bible, Genesis, Genesis 3, Genesis 17, Genesis 4, Genesis 5, Genesis 6, Genesis 18, Genesis 12, Genesis 22, Genesis 26, Genesis 28, Genesis 35, Deuteronomy, Deuteronomy 30, Deuteronomy 4, Psalms, Ps. 1, Ps. 5, Ps. 7, Proverbs, Proverbs 2, Isaiah 55, Isaiah 40, Isaiah 8, Jer. 21, Ezekiel, Ezekiel 18, Ezek, 2 Nephi 1, Mosiah 4, Mosiah 3, Helaman, Helaman 6, Helaman 11, 3 Ne. 14, Book of Mormon, Ether 12, Moroni 6, Moroni 7, New Testament, Matt. 7, Luke 13, John 14, Acts 9, Acts 16, Acts 18, 2 Peter",170
"Genesis 2",171
"New Testament",172
"Bible, Psalms, 1 Ne. 22, 2 Ne. 26, 2 Ne. 28, 2 Ne. 5, 2 Ne. 10, 2 Ne. 6, Jacob 2, Jacob 3, Mosiah 3, Mosiah 1, Alma 10, Alma 9, Alma 34, Alma 42, Alma 26, Helaman 13, Helaman 11, Helaman 9, Helaman 14, Helaman 7, Helaman 15, Helaman 16, Book of Mormon, Mormon 1, Matthew 23, D&C 84",173
"Bible",174
"Bible, Song, Book of Mormon, Doctrine and Covenants 69, Doctrine and Covenants, Articles of Faith",175
"No scriptures",176
"No scriptures",177
"No scriptures",178
"No scriptures",179
"Hosea",180
"Bible, 3 Nephi 9, 3 Nephi, Book of Mormon, John 1, Doctrine and Covenants",181
"No scriptures",182
"No scriptures",183
"No scriptures",184
"No scriptures",185
"No scriptures",186
